type,section,name,intro,grade,visible,completion,completionview,timeopen,timeclose
quiz,Unit 2,Unit 2 Quiz — Control Flow,<div><p>5 auto-marked questions loaded from Moodle Question Bank.</p></div>,50,0,2,1,,
assign,Unit 2,Search Query Analyzer (Google Theme),<div><p><strong>Instructions</strong><br>The Google Search Quality team needs a script to analyze a batch of queries and produce a quality report using loops and conditions.</p></div>,100,0,1,0,,
forum,Unit 2,Unit 2 Discussion,<div><h3>Discussion Prompt</h3><blockquote>Google’s spam filter uses conditions. Design a simple rule-based spam classifier in pseudocode with at least 5 conditions.</blockquote></div>,,0,1,0,,
section,Unit 3,Unit 3,,,1,0,0,,
label,Unit 3,Unit 3: Functions & Modules,<div><h3>Unit 3: Functions & Modules</h3></div>,,1,0,0,,
page,Unit 3,Lesson 1 — Core Concepts: Functions,"<div><h3>Learning Objectives</h3><p>Define and call functions with parameters and return values. Use default and keyword arguments. Understand variable scope.</p><h3>Core Concepts: Functions</h3><p>Netflix’s recommendation system is built as hundreds of specialized functions. Learn parameters vs arguments, return values, scope (LEGB), docstrings, and modules.</p></div>",,0,2,1,,
page,Unit 3,Lesson 2 — Coding Practice: Functions,"<div><h3>Coding Practice: Functions</h3><p>Complete exercises: Pure Functions, Default Args, Module Explorer.</p></div>",,0,2,1,,
page,Unit 3,Lesson 3 — Reference Readings: Functions,"<div><h3>Reference Readings: Functions</h3><p>Review Python Functions, Defining Your Own Python Function, and Netflix Tech Blog: Python at Netflix.</p></div>",,0,2,1,,
quiz,Unit 3,Unit 3 Quiz — Functions & Modules,<div><p>5 auto-marked questions loaded from Moodle Question Bank.</p></div>,50,0,2,1,,
assign,Unit 3,Movie Recommendation Engine (Netflix Theme),<div><p><strong>Instructions</strong><br>Build a simplified version of Netflix’s recommendation logic using Python functions with docstrings and return values.</p></div>,100,0,1,0,,
forum,Unit 3,Unit 3 Discussion,<div><h3>Discussion Prompt</h3><blockquote>How would you refactor code you wrote in Unit 1 or 2 into 3 smaller functions following the single-responsibility principle?</blockquote></div>,,0,1,0,,
section,Unit 4,Unit 4,,,1,0,0,,
label,Unit 4,"Unit 4: Data Structures: Lists, Dicts, Tuples & Sets","<div><h3>Unit 4: Data Structures: Lists, Dicts, Tuples & Sets</h3></div>",,1,0,0,,
page,Unit 4,Lesson 1 — Core Concepts: Data Structures,"<div><h3>Learning Objectives</h3><p>Create and manipulate lists, dictionaries, tuples, and sets. Choose the right data structure for a given problem.</p><h3>Core Concepts: Data Structures</h3><p>Spotify manages 100M songs. Playlists are lists, user profiles are dictionaries, artist genres are sets. Learn lists, dicts, tuples, sets, and nesting.</p></div>",,0,2,1,,
page,Unit 4,Lesson 2 — Coding Practice: Data Structures,"<div><h3>Coding Practice: Data Structures</h3><p>Complete exercises: Playlist Builder, User Profile, Top Charts.</p></div>",,0,2,1,,
page,Unit 4,Lesson 3 — Reference Readings: Data Structures,"<div><h3>Reference Readings: Data Structures</h3><p>Review Python Data Structures, Dictionaries in Python, and Spotify Engineering Blog.</p></div>",,0,2,1,,
quiz,Unit 4,Unit 4 Quiz — Data Structures,<div><p>5 auto-marked questions loaded from Moodle Question Bank.</p></div>,50,0,2,1,,
assign,Unit 4,Playlist Manager & Music Analytics (Spotify Theme),"<div><p><strong>Instructions</strong><br>Build a Spotify-inspired system that stores and analyses music data using lists, dicts, tuples, and sets.</p></div>",100,0,1,0,,
forum,Unit 4,Unit 4 Discussion,<div><h3>Discussion Prompt</h3><blockquote>Design a Python data structure for a Spotify podcast episode. What fields would you include and what type for each?</blockquote></div>,,0,1,0,,
section,Unit 5,Unit 5,,,1,0,0,,
label,Unit 5,Unit 5: File Handling & Exception Management,<div><h3>Unit 5: File Handling & Exception Management</h3></div>,,1,0,0,,
page,Unit 5,Lesson 1 — Core Concepts: File I/O & Exceptions,"<div><h3>Learning Objectives</h3><p>Read and write text and CSV files using Python. Use the with statement and handle errors gracefully.</p><h3>Core Concepts: File I/O & Exceptions</h3><p>Meta’s systems write millions of posts to files. Learn open(), with statement, CSV reading/writing, and try/except/finally structure.</p></div>",,0,2,1,,
page,Unit 5,Lesson 2 — Coding Practice: Files & Errors,"<div><h3>Coding Practice: Files & Errors</h3><p>Complete exercises: Post Logger, Safe Calculator, Word Frequency Counter.</p></div>",,0,2,1,,
page,Unit 5,Lesson 3 — Reference Readings: Files & Errors,"<div><h3>Reference Readings: Files & Errors</h3><p>Review Python File I/O, Python Exceptions, and Reading and Writing CSV Files.</p></div>",,0,2,1,,
quiz,Unit 5,Unit 5 Quiz — File Handling & Exception Management,<div><p>5 auto-marked questions loaded from Moodle Question Bank.</p></div>,50,0,2,1,,
assign,Unit 5,Social Feed Logger & Analyser (Meta Theme),<div><p><strong>Instructions</strong><br>Build a simplified backend for a social feed that persists posts to a CSV file and catches exceptions safely.</p></div>,100,0,1,0,,
forum,Unit 5,Unit 5 Discussion,<div><h3>Discussion Prompt</h3><blockquote>Think of a real app and describe 3 scenarios where file I/O or exception handling is critical.</blockquote></div>,,0,1,0,,
section,Unit 6,Unit 6,,,1,0,0,,
label,Unit 6,Unit 6: Object-Oriented Programming (OOP),<div><h3>Unit 6: Object-Oriented Programming (OOP)</h3></div>,,1,0,0,,
page,Unit 6,Lesson 1 — Core Concepts: OOP,"<div><h3>Learning Objectives</h3><p>Define classes with attributes and methods. Implement inheritance, encapsulation, and polymorphism.</p><h3>Core Concepts: OOP</h3><p>Uber’s platform uses objects: Driver, Rider, Trip. Learn classes, objects, __init__, instance attributes, methods, inheritance, and super().</p></div>",,0,2,1,,
page,Unit 6,Lesson 2 — Coding Practice: OOP,"<div><h3>Coding Practice: OOP</h3><p>Complete exercises: Vehicle Hierarchy, Driver Rating System, Trip History.</p></div>",,0,2,1,,
page,Unit 6,Lesson 3 — Reference Readings: OOP,"<div><h3>Reference Readings: OOP</h3><p>Review Python Classes, OOP in Python 3, and Uber Engineering Blog.</p></div>",,0,2,1,,
quiz,Unit 6,Unit 6 Quiz — Object-Oriented Programming (OOP),<div><p>5 auto-marked questions loaded from Moodle Question Bank.</p></div>,50,0,2,1,,
assign,Unit 6,Ride Booking System (Uber Theme),"<div><p><strong>Instructions</strong><br>Build a simplified Uber dispatch system using classes, inheritance, and object interactions.</p></div>",100,0,1,0,,
forum,Unit 6,Unit 6 Discussion,<div><h3>Discussion Prompt</h3><blockquote>Choose any real-world system and model it with 3 Python classes. List each class’s attributes and 2 key methods.</blockquote></div>,,0,1,0,,
section,Unit 7,Unit 7,,,1,0,0,,
label,Unit 7,"Unit 7 — CAPSTONE: APIs, Libraries & Capstone Project","<div><h3>Unit 7 — CAPSTONE: APIs, Libraries & Capstone Project</h3></div>",,1,0,0,,
page,Unit 7,Lesson 1 — Core Concepts: APIs & Pandas,"<div><h3>Learning Objectives</h3><p>Make HTTP requests, parse JSON, use pandas and matplotlib, build a complete data pipeline.</p><h3>Core Concepts: APIs & Pandas</h3><p>Data engineers at Google query APIs for live data, process it with pandas, and visualise it with matplotlib. Learn requests, JSON parsing, pandas DataFrames, and matplotlib charts.</p></div>",,0,2,1,,
page,Unit 7,Lesson 2 — Coding Practice: Data Pipeline,"<div><h3>Coding Practice: Data Pipeline</h3><p>Complete exercises: Public API Explorer, Pandas Data Cleaner, Matplotlib Dashboard.</p></div>",,0,2,1,,
page,Unit 7,Lesson 3 — Reference Readings: External Libraries,"<div><h3>Reference Readings: External Libraries</h3><p>Review Requests Library Quickstart, pandas Getting Started, and Google Cloud Python Client Libraries.</p></div>",,0,2,1,,
quiz,Unit 7,Unit 7 Quiz — CAPSTONE,<div><p>5 auto-marked questions loaded from Moodle Question Bank.</p></div>,50,0,2,1,,
assign,Unit 7,CAPSTONE: Data Dashboard,"<div><p><strong>Instructions</strong><br>Build a complete data pipeline — fetch real data from a public API, process it, analyse it, and visualise it — just like a Google Data Engineer.</p></div>",100,0,1,0,,
forum,Unit 7,Unit 7 Discussion,<div><h3>Discussion Prompt</h3><blockquote>Describe your capstone project: What problem does it solve? Which API will you call? How do skills from all 7 units connect?</blockquote></div>,,0,1,0,,
