type,section,name,intro,grade,visible,completion,completionview,timeopen,timeclose
section,Unit 2: Forces and Newton's Laws,Unit 2: Forces and Newton's Laws,,,1,0,0,,
label,Unit 2: Forces and Newton's Laws,UNIT 2: Forces & Newton's Laws — Why Things Move and Stop,"<div><h3>UNIT 2: Forces & Newton's Laws — Why Things Move and Stop</h3><p>Explore contact vs. non-contact forces, balanced vs. unbalanced forces, friction, gravity, and Newton's Three Laws of Motion.</p><p><strong>Pacing:</strong> Weeks 4–6 (Estimated 6–8 study hours)</p></div>",,1,0,0,,
page,Unit 2: Forces and Newton's Laws,"Lesson 1 — Types of Forces, Friction and Gravity","<div><p><em>Discover what forces are, how to draw free-body diagrams, and how gravity and friction shape our everyday world.</em></p><h3>Learning Objectives</h3><ul><li>Classify forces as contact (friction, tension, normal) or non-contact (gravitational, electrostatic, magnetic).</li><li>Distinguish between Mass (kg) and Weight (N) using W = m × g.</li><li>Calculate net force on an object and predict whether its motion will change.</li></ul><h3>Lesson Content</h3><p>A <strong>force</strong> is a push, pull, or twist acting upon an object as a result of its interaction with another object. Forces are vectors (they have both magnitude and direction) and are measured in <strong>Newtons (N)</strong>.</p><h4>1. Contact vs. Non-Contact Forces</h4><ul><li><strong>Contact Forces:</strong> Friction, Normal reaction force, Air resistance/drag, Tension, Applied force.</li><li><strong>Non-Contact (Field) Forces:</strong> Gravitational force, Magnetic force, Electrostatic force.</li></ul><h4>2. Mass vs. Weight</h4><p style='background-color:#f0f4f8;padding:10px;border-left:4px solid #1976d2;'><strong>Mass (m):</strong> The amount of matter in an object (measured in kg). Mass NEVER changes regardless of location.<br><strong>Weight (W):</strong> The gravitational pull acting on that mass (measured in N).<br><strong>Formula:</strong> Weight = Mass × Gravitational Field Strength (W = m × g)<br><em>On Earth:</em> g ≈ 9.8 N/kg. (A 50 kg student weighs: 50 kg × 9.8 N/kg = 490 N).<br><em>On the Moon:</em> g ≈ 1.6 N/kg. (The same student weighs only: 50 kg × 1.6 N/kg = 80 N!).</p><h4>3. Balanced vs. Unbalanced Forces</h4><ul><li><strong>Balanced Forces (F_net = 0):</strong> The object remains at rest OR continues moving at constant velocity.</li><li><strong>Unbalanced Forces (F_net > 0):</strong> The object accelerates in the direction of the net force.</li></ul></div>",,0,2,1,,
page,Unit 2: Forces and Newton's Laws,Lesson 2 — Newton's 1st and 2nd Laws of Motion,"<div><p><em>Unpack the Law of Inertia and the famous equation F = ma that powers modern engineering.</em></p><h3>Learning Objectives</h3><ul><li>Explain Newton's First Law (Law of Inertia) and relate inertia to mass.</li><li>Apply Newton's Second Law (F = ma) to calculate force, mass, or acceleration.</li><li>Analyze safety features such as seatbelts and airbags using Newton's laws.</li></ul><h3>Lesson Content</h3><p>Sir Isaac Newton published his three fundamental laws of motion in 1687, forming the backbone of classical physics.</p><h4>1. Newton's First Law (The Law of Inertia)</h4><blockquote>'An object at rest stays at rest, and an object in motion stays in motion with the same speed and in the same direction unless acted upon by an unbalanced external force.'</blockquote><p><strong>Inertia</strong> is the resistance of any physical object to any change in its velocity. The more mass an object has, the greater its inertia! This is why when a bus brakes suddenly, passengers lurch forward—their bodies want to continue moving forward at the previous speed.</p><h4>2. Newton's Second Law of Motion</h4><p>The acceleration of an object depends directly upon the net force acting upon it and inversely upon the mass of the object:</p><p style='background-color:#f0f4f8;padding:10px;border-left:4px solid #1976d2;'><strong>Formula:</strong> Force = Mass × Acceleration (F = m × a)<br><strong>Units:</strong> Force in Newtons (N), Mass in kilograms (kg), Acceleration in m/s².<br>(1 Newton = 1 kg·m/s²)</p><h4>3. Worked Example</h4><p><strong>Problem:</strong> How much force is needed to accelerate a 1,200 kg car at 2.5 m/s²?</p><p><strong>Solution:</strong> F = m × a = 1200 kg × 2.5 m/s² = 3,000 N.</p><h4>4. Vehicle Safety Physics</h4><p>Airbags and seatbelts increase the time duration of a crash. Since F = m × Δv / t, increasing the stopping time significantly reduces the impact force on the passenger's body!</p></div>",,0,2,1,,
page,Unit 2: Forces and Newton's Laws,Lesson 3 — Newton's 3rd Law and Rocket Propulsion,"<div><p><em>Understand action-reaction pairs, recoil, and the incredible physics that sends rockets into space.</em></p><h3>Learning Objectives</h3><ul><li>State Newton's Third Law and identify action-reaction force pairs.</li><li>Explain how rockets propel forward in the vacuum of space.</li><li>Describe everyday action-reaction pairs (walking, swimming, bird flight).</li></ul><h3>Lesson Content</h3><p>Whenever an object exerts a force on a second object, the second object exerts an equal and opposite force on the first.</p><h4>1. Newton's Third Law (Action & Reaction)</h4><blockquote>'For every action force, there is an equal and opposite reaction force.'</blockquote><p><strong>Important Rule:</strong> Action and reaction forces ALWAYS act on <em>different</em> objects, which is why they do not cancel each other out!</p><h4>2. Everyday Examples</h4><ul><li><strong>Walking:</strong> Your foot pushes backward on the ground (Action) → The ground pushes forward on your foot (Reaction).</li><li><strong>Swimming:</strong> Your hands push water backward (Action) → The water pushes your body forward (Reaction).</li><li><strong>Skateboarding:</strong> Stepping forward off a skateboard pushes the skateboard backward.</li></ul><h4>3. How Rockets Fly in Space</h4><p>A common myth is that rockets push against the ground or against air to move. In space, there is no air! A rocket engine burns fuel and expels hot gas particles backward at extreme velocity (Action). In reaction, the expelled gas particles exert an equal force forward on the rocket engine (Thrust Reaction), accelerating the spacecraft forward through empty space!</p></div>",,0,2,1,,
quiz,Unit 2: Forces and Newton's Laws,Unit 2 Quiz — Forces and Newton's Laws,5 auto-marked conceptual and calculation questions covering Unit 2: Forces and Newton's Laws.,50,0,2,1,,
assign,Unit 2: Forces and Newton's Laws,Unit 2 Assignment — Mars Lander Crash Barrier Engineering Challenge,"<p><strong>Project Overview:</strong> NASA is designing a planetary probe to land safely on Mars. You must design a shock-absorption landing system and explain the physics using Newton's Laws.</p><h4>Deliverables:</h4><ol><li><strong>Diagram / Schematic:</strong> Sketch your Mars lander showing the shock absorbers, crumple zones, or thruster system.</li><li><strong>Force Analysis (F=ma):</strong><ul><li>Mars gravity is g_Mars = 3.7 N/kg. If your lander has a mass of 450 kg, calculate its weight on Mars.</li><li>If the lander hits the Martian surface at 12 m/s and must come to rest in 0.20 seconds, calculate the required deceleration and the average impact force.</li><li>Explain how doubling the crumple zone stopping time from 0.20 s to 0.40 s changes the impact force.</li></ul></li><li><strong>Newton's Laws Justification:</strong> Write one paragraph for each of Newton's 3 Laws explaining how they apply to the landing.</li></ol><h3>Grading Rubric (Total: 100 Points)</h3><table border='1' cellpadding='7' style='border-collapse:collapse;width:100%'><thead><tr><th>Criteria</th><th>Exemplary (4)</th><th>Proficient (3)</th><th>Developing (2)</th><th>Beginning (1)</th></tr></thead><tbody><tr><td><strong>Physics Calculations (35 pts)</strong></td><td>All Mars weight, acceleration, and force calculations are 100% accurate with correct units.</td><td>Calculations mostly accurate with minor arithmetic slips.</td><td>Equations identified but with notable mathematical errors.</td><td>Incorrect equations or missing calculations.</td></tr><tr><td><strong>Application of Newton's Laws (35 pts)</strong></td><td>Flawless, in-depth explanation of all 3 laws applied to the landing sequence.</td><td>Good explanations of all 3 laws.</td><td>Explains 1 or 2 laws correctly; confuses action-reaction.</td><td>Superficial or incorrect descriptions.</td></tr><tr><td><strong>Engineering Design & Schematic (20 pts)</strong></td><td>Clear, creative diagram with labeled shock absorption mechanisms.</td><td>Complete diagram with labels.</td><td>Basic sketch lacking detail.</td><td>Missing schematic.</td></tr><tr><td><strong>Communication & Structure (10 pts)</strong></td><td>Scientific vocabulary used precisely; well structured.</td><td>Clear and readable.</td><td>Minor clarity issues.</td><td>Difficult to follow.</td></tr></tbody></table>",100,0,1,0,,
forum,Unit 2: Forces and Newton's Laws,Unit 2: Forces and Newton's Laws Discussion,"<div><h3>Discussion Prompt</h3><blockquote>Astronauts on the International Space Station (ISS) appear to float as if there is zero gravity. However, at the ISS altitude (~400 km above Earth), Earth's gravity is still about 90% as strong as on the surface! Why do astronauts float in mid-air? Explain the concept of 'free fall orbit' using Newton's laws.</blockquote><p><strong>Teacher Facilitation Notes:</strong> Encourage students to cite specific laws/formulas from the lessons and respectfully evaluate peer responses.</p></div>",,0,1,0,,
section,Unit 3: Energy and Work,Unit 3: Energy and Work,,,1,0,0,,
label,Unit 3: Energy and Work,"UNIT 3: Energy, Work & Power — The Engine of the Universe","<div><h3>UNIT 3: Energy, Work & Power — The Engine of the Universe</h3><p>Calculate Kinetic and Gravitational Potential Energy, apply the Law of Conservation of Energy, and calculate Work and Power in everyday systems.</p><p><strong>Pacing:</strong> Weeks 7–9 (Estimated 6–8 study hours)</p></div>",,1,0,0,,
page,Unit 3: Energy and Work,"Lesson 1 — Forms of Energy, Kinetic and Potential Energy","<div><p><em>Explore mechanical energy forms, master the formulas for KE and GPE, and discover how energy is stored.</em></p><h3>Learning Objectives</h3><ul><li>Identify different energy stores (Kinetic, Gravitational, Chemical, Thermal, Elastic, Nuclear).</li><li>Calculate Gravitational Potential Energy using GPE = m × g × h.</li><li>Calculate Kinetic Energy using KE = 0.5 × m × v² and analyze how speed affects kinetic energy.</li></ul><h3>Lesson Content</h3><p><strong>Energy</strong> is defined as the ability or capacity to do work. Energy cannot be seen directly, but we see and feel its effects everywhere. Energy is measured in <strong>Joules (J)</strong>.</p><h4>1. Gravitational Potential Energy (GPE)</h4><p>GPE is energy stored in an object due to its vertical position or height above ground:</p><p style='background-color:#f0f4f8;padding:10px;border-left:4px solid #1976d2;'><strong>Formula:</strong> GPE = Mass × Gravity × Height (GPE = m × g × h)<br>where m is in kg, g ≈ 9.8 N/kg, and h is height in meters.<br><strong>Example:</strong> A 2 kg book lifted 1.5 m high stores: 2 kg × 9.8 N/kg × 1.5 m = 29.4 J.</p><h4>2. Kinetic Energy (KE)</h4><p>Kinetic energy is the energy of a moving object:</p><p style='background-color:#f0f4f8;padding:10px;border-left:4px solid #1976d2;'><strong>Formula:</strong> KE = 0.5 × Mass × Velocity² (KE = 1/2 × m × v²)<br><em>Crucial Insight:</em> Because velocity is squared, <strong>doubling your speed quadruples your kinetic energy</strong>! This is why high-speed road collisions are exponentially more dangerous.</p><h4>3. Worked Example</h4><p>A 60 kg skateboarder moves at 4 m/s. What is their kinetic energy?<br>KE = 0.5 × 60 kg × (4 m/s)² = 30 × 16 = 480 Joules.</p></div>",,0,2,1,,
page,Unit 3: Energy and Work,Lesson 2 — The Law of Conservation of Energy,"<div><p><em>Learn why energy cannot be created or destroyed, trace energy transformations, and draw Sankey diagrams.</em></p><h3>Learning Objectives</h3><ul><li>State the Law of Conservation of Energy.</li><li>Trace energy transfers in systems like pendulums, skate ramps, and power plants.</li><li>Distinguish between useful energy output and wasted thermal energy (dissipation).</li></ul><h3>Lesson Content</h3><h4>1. The Law of Conservation of Energy</h4><blockquote>'Energy cannot be created or destroyed; it can only be transformed from one form to another, or transferred from one system to another.'</blockquote><p>The total energy of an isolated system always remains constant.</p><h4>2. The Skate Park & Pendulum Model</h4><ul><li><strong>At the top of the ramp:</strong> Height is maximum → GPE is maximum, KE is zero.</li><li><strong>Halfway down:</strong> Half of GPE has converted into KE.</li><li><strong>At the bottom of the ramp:</strong> Height is zero → GPE is zero, KE is maximum (maximum speed!).</li><li>Total Mechanical Energy = GPE + KE = Constant (ignoring friction).</li></ul><h4>3. Energy Dissipation & Efficiency</h4><p>In real-world machines, some energy is always converted into 'wasted' forms (usually heat due to friction and sound). When energy spreads out into the surroundings and becomes less useful, we say it has <strong>dissipated</strong>.</p><p style='background-color:#f0f4f8;padding:10px;border-left:4px solid #1976d2;'><strong>Efficiency Formula:</strong> Efficiency (%) = (Useful Energy Output / Total Energy Input) × 100</p></div>",,0,2,1,,
page,Unit 3: Energy and Work,"Lesson 3 — Work, Power and Renewable Energy","<div><p><em>Master the physics definitions of mechanical Work and Power, and analyze how renewable generators produce electricity.</em></p><h3>Learning Objectives</h3><ul><li>Calculate mechanical work done using W = F × d.</li><li>Calculate electrical/mechanical power using P = W / t in Watts.</li><li>Evaluate renewable energy technologies (hydroelectric, wind, solar) from an energy transfer perspective.</li></ul><h3>Lesson Content</h3><h4>1. What is 'Work' in Physics?</h4><p>In physics, <strong>Work</strong> is done only when a force causes an object to move in the direction of the force:</p><p style='background-color:#f0f4f8;padding:10px;border-left:4px solid #1976d2;'><strong>Formula:</strong> Work = Force × Distance (W = F × d)<br><strong>Unit:</strong> 1 Joule (J) = 1 Newton-meter (N·m).<br><em>Note:</em> If you push hard against a solid brick wall but it does not move (d = 0), physics says you have done <strong>0 Joules of work</strong> on the wall!</p><h4>2. Power: The Rate of Doing Work</h4><p>Power measures how fast energy is transferred or how quickly work is done:</p><p style='background-color:#f0f4f8;padding:10px;border-left:4px solid #1976d2;'><strong>Formula:</strong> Power = Work / Time = Energy / Time (P = W / t)<br><strong>Unit:</strong> <strong>Watts (W)</strong> (1 Watt = 1 Joule per second).<br><em>Example:</em> A 100 W light bulb transforms 100 Joules of electrical energy into light and heat every single second.</p><h4>3. Renewable Energy Systems</h4><ul><li><strong>Hydroelectric Dam:</strong> GPE of elevated reservoir water → Kinetic energy of flowing water → Mechanical KE of turbine → Electrical energy from generator.</li><li><strong>Wind Turbines:</strong> Kinetic energy of wind → Mechanical rotation of blades → Electrical energy.</li><li><strong>Solar Photovoltaic:</strong> Light energy (photons) → Direct Electrical energy.</li></ul></div>",,0,2,1,,
quiz,Unit 3: Energy and Work,Unit 3 Quiz — Energy and Work,5 auto-marked conceptual and calculation questions covering Unit 3: Energy and Work.,50,0,2,1,,
assign,Unit 3: Energy and Work,Unit 3 Assignment — Home Energy Efficiency Audit and Action Plan,"<p><strong>Mission:</strong> Act as an Energy Auditor for your home or school to calculate power consumption and recommend energy-saving upgrades.</p><h4>Audit Steps:</h4><ol><li><strong>Device Inventory:</strong> Select 4 electrical appliances (e.g., refrigerator, LED TV, gaming console, microwave, electric kettle, air conditioner).</li><li><strong>Energy & Cost Calculations:</strong><ul><li>Record the power rating (in Watts or kW) for each device.</li><li>Estimate daily usage in hours.</li><li>Calculate daily energy consumed in kilowatt-hours: Energy (kWh) = (Power in Watts × Hours) / 1000.</li><li>If electricity costs $0.15 per kWh, calculate the monthly cost to operate each appliance.</li></ul></li><li><strong>Energy Transformation Flowcharts:</strong> For 2 of your devices, draw a diagram showing Input Energy → Useful Energy + Wasted Energy.</li><li><strong>Recommendation Plan:</strong> Propose 3 actionable physics-based improvements to reduce wasted energy.</li></ol><h3>Grading Rubric (Total: 100 Points)</h3><table border='1' cellpadding='7' style='border-collapse:collapse;width:100%'><thead><tr><th>Criteria</th><th>Exemplary (4)</th><th>Proficient (3)</th><th>Developing (2)</th><th>Beginning (1)</th></tr></thead><tbody><tr><td><strong>Calculations & Math Accuracy (35 pts)</strong></td><td>All Watts, kWh, and cost calculations are flawless and clearly laid out.</td><td>Accurate math with minor rounding issues.</td><td>Several arithmetic errors in kWh conversion.</td><td>Incomplete or inaccurate calculations.</td></tr><tr><td><strong>Energy Flow Diagrams (30 pts)</strong></td><td>Clear identification of input, useful, and dissipated energy forms.</td><td>Good diagrams with correct labels.</td><td>Partially correct energy stores.</td><td>Missing energy diagrams.</td></tr><tr><td><strong>Actionable Recommendations (25 pts)</strong></td><td>Realistic, high-impact suggestions grounded in physics concepts.</td><td>Sound practical recommendations.</td><td>Generic suggestions with little physics reasoning.</td><td>Impractical or vague suggestions.</td></tr><tr><td><strong>Organization & Presentation (10 pts)</strong></td><td>Exemplary table structure and clear formatting.</td><td>Organized and well written.</td><td>Somewhat messy.</td><td>Poorly organized.</td></tr></tbody></table>",100,0,1,0,,
forum,Unit 3: Energy and Work,Unit 3: Energy and Work Discussion,"<div><h3>Discussion Prompt</h3><blockquote>If energy can never be created or destroyed, why do politicians, climate scientists, and engineers constantly tell the public that we need to 'save energy' or that we are 'running out of energy'? Explain the physics distinction between the quantity of energy vs. the quality/usability of energy.</blockquote><p><strong>Teacher Facilitation Notes:</strong> Encourage students to cite specific laws/formulas from the lessons and respectfully evaluate peer responses.</p></div>",,0,1,0,,
section,Unit 4: Waves Light and Sound,Unit 4: Waves Light and Sound,,,1,0,0,,
label,Unit 4: Waves Light and Sound,"UNIT 4: Waves, Light & Sound — Energy in Motion","<div><h3>UNIT 4: Waves, Light & Sound — Energy in Motion</h3><p>Investigate transverse vs. longitudinal waves, the wave speed equation, the physics of sound and pitch, and the behavior of light across the electromagnetic spectrum.</p><p><strong>Pacing:</strong> Weeks 10–12 (Estimated 6–8 study hours)</p></div>",,1,0,0,,
page,Unit 4: Waves Light and Sound,Lesson 1 — Anatomy and Properties of Waves,"<div><p><em>Discover how waves transfer energy without transferring matter, and master the wave speed equation v = f × λ.</em></p><h3>Learning Objectives</h3><ul><li>Compare transverse waves (light, water) and longitudinal waves (sound, seismic P-waves).</li><li>Define and identify wavelength (λ), frequency (f), amplitude, period (T), crest, and trough.</li><li>Use the wave speed equation (v = f × λ) to calculate speed, frequency, or wavelength.</li></ul><h3>Lesson Content</h3><p>A <strong>wave</strong> is a disturbance that transfers energy from one place to another through oscillations, without transferring matter itself.</p><h4>1. Transverse vs. Longitudinal Waves</h4><ul><li><strong>Transverse Waves:</strong> Particles oscillate <em>perpendicular</em> (at right angles) to the direction of wave travel. Examples: Light, ocean surface ripples, radio waves. Features: <strong>Crests</strong> (peaks) and <strong>Troughs</strong> (valleys).</li><li><strong>Longitudinal Waves:</strong> Particles oscillate <em>parallel</em> (back and forth) to the direction of wave travel. Example: Sound waves. Features: <strong>Compressions</strong> (bunged together) and <strong>Rarefactions</strong> (spread apart).</li></ul><h4>2. Key Wave Parameters</h4><ul><li><strong>Wavelength (λ):</strong> Distance between two identical consecutive points (e.g., crest to crest), measured in meters (m).</li><li><strong>Frequency (f):</strong> The number of complete waves passing a fixed point per second, measured in <strong>Hertz (Hz)</strong>.</li><li><strong>Amplitude:</strong> Maximum displacement from equilibrium (rest position). Related directly to energy!</li><li><strong>Period (T):</strong> Time for one complete wave cycle: T = 1 / f.</li></ul><h4>3. The Wave Equation</h4><p style='background-color:#f0f4f8;padding:10px;border-left:4px solid #1976d2;'><strong>Formula:</strong> Wave Speed = Frequency × Wavelength (v = f × λ)<br><strong>Units:</strong> Speed in m/s, Frequency in Hz, Wavelength in m.</p><h4>4. Worked Example</h4><p>A radio station broadcasts an FM wave with a frequency of 100 MHz (100,000,000 Hz). If radio waves travel at the speed of light (300,000,000 m/s), what is the wavelength?<br>λ = v / f = (300,000,000 m/s) / (100,000,000 Hz) = 3.0 meters.</p></div>",,0,2,1,,
