type,section,name,intro,grade,visible,completion,completionview,timeopen,timeclose
quiz,Python,Unit 4 Quiz — Data Structures,<div><p>5 auto-marked questions loaded from Moodle Question Bank.</p></div>,50,0,2,1,,
assign,Python,Playlist Manager & Music Analytics (Spotify Theme),"<div><p><strong>Instructions</strong><br>Build a Spotify-inspired system that stores and analyses music data using lists, dicts, tuples, and sets.</p></div>",100,0,1,0,,
forum,Python,Unit 4 Discussion,<div><h3>Discussion Prompt</h3><blockquote>Design a Python data structure for a Spotify podcast episode. What fields would you include and what type for each?</blockquote></div>,,0,1,0,,
label,Python,Unit 5: File Handling & Exception Management,<div><h3>Unit 5: File Handling & Exception Management</h3></div>,,1,0,0,,
page,Python,Lesson 1 — Core Concepts: File I/O & Exceptions,"<div><h3>Learning Objectives</h3><p>Read and write text and CSV files using Python. Use the with statement and handle errors gracefully.</p><h3>Core Concepts: File I/O & Exceptions</h3><p>Meta’s systems write millions of posts to files. Learn open(), with statement, CSV reading/writing, and try/except/finally structure.</p></div>",,0,2,1,,
page,Python,Lesson 2 — Coding Practice: Files & Errors,"<div><h3>Coding Practice: Files & Errors</h3><p>Complete exercises: Post Logger, Safe Calculator, Word Frequency Counter.</p></div>",,0,2,1,,
page,Python,Lesson 3 — Reference Readings: Files & Errors,"<div><h3>Reference Readings: Files & Errors</h3><p>Review Python File I/O, Python Exceptions, and Reading and Writing CSV Files.</p></div>",,0,2,1,,
quiz,Python,Unit 5 Quiz — File Handling & Exception Management,<div><p>5 auto-marked questions loaded from Moodle Question Bank.</p></div>,50,0,2,1,,
assign,Python,Social Feed Logger & Analyser (Meta Theme),<div><p><strong>Instructions</strong><br>Build a simplified backend for a social feed that persists posts to a CSV file and catches exceptions safely.</p></div>,100,0,1,0,,
forum,Python,Unit 5 Discussion,<div><h3>Discussion Prompt</h3><blockquote>Think of a real app and describe 3 scenarios where file I/O or exception handling is critical.</blockquote></div>,,0,1,0,,
label,Python,Unit 6: Object-Oriented Programming (OOP),<div><h3>Unit 6: Object-Oriented Programming (OOP)</h3></div>,,1,0,0,,
page,Python,Lesson 1 — Core Concepts: OOP,"<div><h3>Learning Objectives</h3><p>Define classes with attributes and methods. Implement inheritance, encapsulation, and polymorphism.</p><h3>Core Concepts: OOP</h3><p>Uber’s platform uses objects: Driver, Rider, Trip. Learn classes, objects, __init__, instance attributes, methods, inheritance, and super().</p></div>",,0,2,1,,
page,Python,Lesson 2 — Coding Practice: OOP,"<div><h3>Coding Practice: OOP</h3><p>Complete exercises: Vehicle Hierarchy, Driver Rating System, Trip History.</p></div>",,0,2,1,,
page,Python,Lesson 3 — Reference Readings: OOP,"<div><h3>Reference Readings: OOP</h3><p>Review Python Classes, OOP in Python 3, and Uber Engineering Blog.</p></div>",,0,2,1,,
quiz,Python,Unit 6 Quiz — Object-Oriented Programming (OOP),<div><p>5 auto-marked questions loaded from Moodle Question Bank.</p></div>,50,0,2,1,,
assign,Python,Ride Booking System (Uber Theme),"<div><p><strong>Instructions</strong><br>Build a simplified Uber dispatch system using classes, inheritance, and object interactions.</p></div>",100,0,1,0,,
forum,Python,Unit 6 Discussion,<div><h3>Discussion Prompt</h3><blockquote>Choose any real-world system and model it with 3 Python classes. List each class’s attributes and 2 key methods.</blockquote></div>,,0,1,0,,
label,Python,"Unit 7 — CAPSTONE: APIs, Libraries & Capstone Project","<div><h3>Unit 7 — CAPSTONE: APIs, Libraries & Capstone Project</h3></div>",,1,0,0,,
page,Python,Lesson 1 — Core Concepts: APIs & Pandas,"<div><h3>Learning Objectives</h3><p>Make HTTP requests, parse JSON, use pandas and matplotlib, build a complete data pipeline.</p><h3>Core Concepts: APIs & Pandas</h3><p>Data engineers at Google query APIs for live data, process it with pandas, and visualise it with matplotlib. Learn requests, JSON parsing, pandas DataFrames, and matplotlib charts.</p></div>",,0,2,1,,
page,Python,Lesson 2 — Coding Practice: Data Pipeline,"<div><h3>Coding Practice: Data Pipeline</h3><p>Complete exercises: Public API Explorer, Pandas Data Cleaner, Matplotlib Dashboard.</p></div>",,0,2,1,,
page,Python,Lesson 3 — Reference Readings: External Libraries,"<div><h3>Reference Readings: External Libraries</h3><p>Review Requests Library Quickstart, pandas Getting Started, and Google Cloud Python Client Libraries.</p></div>",,0,2,1,,
quiz,Python,Unit 7 Quiz — CAPSTONE,<div><p>5 auto-marked questions loaded from Moodle Question Bank.</p></div>,50,0,2,1,,
assign,Python,CAPSTONE: Data Dashboard,"<div><p><strong>Instructions</strong><br>Build a complete data pipeline — fetch real data from a public API, process it, analyse it, and visualise it — just like a Google Data Engineer.</p></div>",100,0,1,0,,
forum,Python,Unit 7 Discussion,<div><h3>Discussion Prompt</h3><blockquote>Describe your capstone project: What problem does it solve? Which API will you call? How do skills from all 7 units connect?</blockquote></div>,,0,1,0,,
